taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
erythrosuchus	-249	-244	archosauriformes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
euarchontoglires	-67	-0	placentalia	lagomorpha, primates, rodentia	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
eudromaeosauria	-143	-66	dromaeosauridae	atrociraptor, deinonychus, dromaeosaurus, pyroraptor, utahraptor, velociraptor	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
euhelopodidae	-145	-88	sauropoda	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
euoplocephalus	-76.4	-75.6	ankylosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
euornithes	-130.7	-0	avialae	aves, hesperornis, ichthyornis	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
euparkeria	-247	-247	archosauriformes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
eureptilia	-311	-0	sauropsida	araeoscelidia, diapsida	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
europelta	-113	-113	nodosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
eusthenopteron	-385	-385	tetrapodomorpha	NA	'Good strength fin'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
eustreptospondylus	-166	-154	megalosauridae	NA	'True Streptospondylus' or 'true reversed vertebra'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
eutheria	-125	-0	theria	placentalia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
eutyrannosauria	-90	-66	tyrannosauroidea	tyrannosauridae, dryptosaurus, appalachiosaurus, bistahieversor	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
fasolasuchus	-220	-213	pseudosuchia	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
felidae	-30.8	-0	carnivora	machairodontinae, panthera	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
ferae	-79.47	-0	laurasiatheria	creodonta, pholidotamorpha, carnivora	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
fukuiraptor	-125	-115	megaraptora	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
